"소속회사명","theta","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28"
"(주)그라운드엑스","1","FALSE","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)다온크리에이티브","1","FALSE","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)디케이테크인","0.638535497240026","TRUE","0","0","0","0","17169.9253456573","13587.2845056356","0","0","0","0.155337533511422","0","0","0.0127061103138669","0","0","0","0","0","0.159995474121664","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.671960882053062"
"(주)라이온하트스튜디오","1","FALSE","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)레디엔터테인먼트","1","FALSE","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)메타보라","0.707075387503995","TRUE","2136.88809855728","0","23658.7632193383","0","5173.04865670319","32183.6431834936","0.165036523461544","0","0","0","0","0","0.834963476537845","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)삼양씨앤씨","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)세나테크놀로지","0.822004880646221","TRUE","0","0","1894.30349612085","0","18462.3657599866","17990.5651861147","0","0","0","0.0236689682749527","0","0","0","0","0.40375956077779","0","0","0","0.572571470955647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스타쉽엔터테인먼트","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)아이에스티엔터테인먼트","0.952097326802312","TRUE","0","0","0","0","1984.99097202627","567.911597669921","0","0","0","0","0","0","0","0","0","0","0","0","0.0868522482610626","0","0","0","0","0","0","0","0","0","0","0.264498735696518","0","0.323772731940071","0","0.324876284102348"
"(주)야나두","0.409083782240803","TRUE","0","0","2745.84604154903","0","22783.3656919525","32404.0530447951","0.154336031253243","0","0","0.0956964416063892","0","0","0.74996752713971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
