"소속회사명","theta","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28"
"(주)그라운드엑스","1","FALSE","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)다온크리에이티브","1","FALSE","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)디케이테크인","0.636513857865184","TRUE","0","0","0","0","15883.8004794069","0","0","0","0","0.155682733130911","0","0","0.0128812832510894","0","0","0","0","0","0.162288871052456","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.658214506212088"
"(주)라이온하트스튜디오","1","FALSE","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)레디엔터테인먼트","1","FALSE","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)메타보라","0.694246368648692","TRUE","989.709374435963","0","23260.6922046264","0","2128.55103803437","0","0.175682343376587","0","0","0","0","0","0.798444149867251","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)삼양씨앤씨","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)세나테크놀로지","0.820698878620723","TRUE","0","0","1407.69751664469","0","65313.6811280005","483429.948942274","0","0","0","0.137640770933986","0","0","0","0","0","0","0","0","1.23187357876433","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스타쉽엔터테인먼트","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)아이에스티엔터테인먼트","0.951932683037496","TRUE","0","0","0","0","1933.7445815471","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0871485134779455","0","0","0","0","0","0","0","0","0","0","0.264830631350753","0","0.323351951758251","0","0.324209588413655"
"(주)야나두","0.403666930601102","TRUE","0","0","2754.54578478947","0","19700.7322184429","0","0.151077657225071","0","0","0.0988206198455605","0","0","0.724066638054315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
