"소속회사명","phi","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28"
"(주)그라운드엑스","1","FALSE","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)다온크리에이티브","1","FALSE","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)디케이테크인","1.02317913314465","TRUE","0","0","157.421179722386","31953.4569558059","30124.0670515785","0","0","0.277303677674829","0","0.276578243829437","0","0","0","0","0","0","0","0","0.446118078495612","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)라이온하트스튜디오","1","FALSE","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)레디엔터테인먼트","1","FALSE","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)메타보라","1.03401982997338","TRUE","0","0","34929.9003120688","15802.0975491975","12101.9307421476","0","0.23326421313157","0","0","0.134963411400427","0","0","0.631772375468293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)삼양씨앤씨","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)세나테크놀로지","1.01769464088185","TRUE","0","21947.7565023481","2283.09278730496","0","21546.0704598197","0","0","0","0","0.132592957477102","0","0","0","0","0.37432725818751","0","0","0","0.493079784335387","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스타쉽엔터테인먼트","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)아이에스티엔터테인먼트","1.00158781031331","TRUE","0","0","0","3189.35584734812","3054.41261229878","0","0","0","0","0","0","0","0","0","0","0","0","0","0.145908708588247","0","0","0","0","0","0","0","0","0","0","0.344149575469315","0","0.275975872610663","0","0.233965843331742"
"(주)야나두","1.05930533981514","TRUE","0","0","11799.598201996","69352.9131111687","64141.812206894","0","0.240119836855566","0","0","0.729738848072627","0","0","0.0301413150710724","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
