"소속회사명","phi","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28"
"(주)그라운드엑스","1","FALSE","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)다온크리에이티브","1","FALSE","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)디케이테크인","1.57105770383996","TRUE","0","0","0","0","24954.3671094336","0","0","0","0","0.244586557240224","0","0","0.020237239287888","0","0","0","0","0","0.254965181114467","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.03409297076273"
"(주)라이온하트스튜디오","1","FALSE","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)레디엔터테인먼트","1","FALSE","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)메타보라","1.44041084715565","TRUE","1425.58811846923","0","33504.9533638929","0","3065.98800390909","0","0.25305475305336","0","0","0","0","0","1.15008761431676","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)삼양씨앤씨","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)세나테크놀로지","1.21847370095182","TRUE","0","0","1715.24240292634","0","79583.0027668575","589046.679038996","0","0","0","0.167711659561881","0","0","0","0","0","0","0","0","1.50100555862224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스타쉽엔터테인먼트","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)아이에스티엔터테인먼트","1.05049444968013","TRUE","0","0","0","0","2031.38795001458","0","0","0","0","0","0","0","0","0","0","0","0","0","0.091549029706503","0","0","0","0","0","0","0","0","0","0","0.278203108339188","0","0.339679430615243","0","0.340580373161681"
"(주)야나두","2.47728987487505","TRUE","0","0","6823.8083825387","0","48804.4244523733","0","0.374263150563514","0","0","0.244807320972283","0","0","1.79372295118677","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
