"소속회사명","theta","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49"
"(주)글앤그림미디어","1","FALSE","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)넥스트레벨스튜디오","0.661506661962841","TRUE","0","0","264.047935547447","1227.1511535245","2804.19161544951","2804.70468554568","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.660727329437398","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.339272670562605","0","0","0","0","0"
"(주)님블뉴런","0.425869059583113","TRUE","0","0","1444.62769306802","0","12368.5028493974","15025.0391030924","0","0","0","0","0","0","0.0340207969312942","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.470014563294391","0","0","0","0","0","0","0","0","0","0","0","0.495964639774314","0","0","0","0","0","0","0","0","0","0"
"(주)돌고래유괴단","0.740972687148824","TRUE","609.967794095791","0","0","0","3324.09750580314","2685.38261246267","0","0","0","0","0","0","0.10809503487281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.735346206488233","0.156558758638957","0","0","0","0","0","0","0","0","0"
"(주)드림위더스","1","FALSE","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)링키지랩","0.840117630471143","TRUE","57.1828329160191","0","0","0","1314.55284227896","1252.23571928932","0","0","0","0","0.514466196272709","0","0.021914117729827","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.463619685997465","0","0","0","0","0","0","0","0","0"
"(주)바람픽쳐스","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)보이스루","0.407176042484911","TRUE","305.021831657704","0","157.629577567818","0","8088.49007631679","7844.11816793552","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.247786259542479","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.752213740457521","0","0","0","0","0","0","0","0","0","0"
"(주)브이에이에스티","0.742902876462664","TRUE","646.253071660034","0","59.4742270001592","0","2229.03206104239","1986.1105343422","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0302290076341742","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.969770992365826","0","0","0","0","0","0","0","0","0","0"
"(주)비에이치엔터테인먼트","0.865425981242411","TRUE","0","0","126.223201360564","0","4573.36345348128","4421.85927677255","0","0","0","0","0","0","0.72344342891929","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1878075773201","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0887489937606097","0","0","0","0","0","0","0","0"
"(주)사나이픽처스","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)쇼노트","0.956098460339548","TRUE","0","0","109.935335876106","0","1777.57334085915","1380.92849348959","0.461702960789029","0","0","0","0","0","0.407489321570909","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.130807717640061","0","0","0","0","0","0","0","0"
