"소속회사명","theta","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49"
"(주)글앤그림미디어","0.902462870173138","TRUE","0","0","0","0","44745.9476058498","45999.0637290915","0","0","0","0","0","0","0.40774197192154","0","0","0","0.840283882401488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.12328479906047","0","0","0","0","0","0","0","0","0","0"
"(주)넥스트레벨스튜디오","0.603055773685101","TRUE","0","0","240.716596245711","835.525208086012","95.1380459965479","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.602345303168953","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.309294455522925","0","0","0","0","0"
"(주)님블뉴런","0.386792984901662","TRUE","67.8286047397389","0","1291.58238792176","0","21107.6800077416","23604.5468886672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.26945174797887","0","0","0","0","0","0","0","0","0","0"
"(주)돌고래유괴단","0.735378251600343","TRUE","528.025411705122","0","0","0","1343.15002395082","528.959395584505","0","0","0","0","0","0","0.11498095260828","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.814981145271426","0","0","0","0","0","0","0","0","0","0"
"(주)드림위더스","1","FALSE","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)링키지랩","0.834347623366943","TRUE","0","0","0","0","159.964059752593","0","0","0","0","0","0.500034274391832","0","0.0269033813571544","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0387597831579981","0.393290251531646","0","0","0","0","0","0","0","0","0"
"(주)바람픽쳐스","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)보이스루","0.405054945450239","TRUE","647.354074601855","0","180.896650034936","0","3485.18697046134","3074.32865905311","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.84195150452787","0","0","0","0","0","0","0","0","0","0"
"(주)브이에이에스티","0.742495655786675","TRUE","688.052535110266","0","62.3940682155566","0","1667.44609987464","1404.21384748135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.980718667834857","0","0","0","0","0","0","0","0","0","0"
"(주)비에이치엔터테인먼트","0.72871008285491","TRUE","4060.75642284379","0","0","0","58467.0637518736","59488.3972254943","0","0","0","0","0","0","0.247397920059832","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.43288960962977","0","0","0","0","0","0","0","0","0","0"
"(주)사나이픽처스","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)쇼노트","0.773566405336956","TRUE","626.852582853024","0","0","0","67030.9400694276","67978.2340148168","0","0","0","0","0","0","0.407054170879478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.56717367113414","0","0","0","0","0","0","0","0","0","0"
"(주)숲엔터테인먼트","0.764315751345201","TRUE","0","0","0","0","29872.1040463122","30126.6752693699","0","0","0","0","0","0","0.220871392533209","0","0","0","0.0809660547781726","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5099402717527","0","0","0","0","0","0","0","0","0","0"
"(주)슈퍼코믹스스튜디오","0.87293657784595","TRUE","1229.94711040781","0","0","1653.76359604829","318.874195555265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.444061106520007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.49179939987335","0","0","0","0","0","0","0","0","0"
"(주)스튜디오좋","0.937799134714671","TRUE","0","0","0","0","111.806880426262","0","0","0","0","0","0.256851666468935","0","0.133571417341376","0","0","0","0.00152730993330657","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.588182242126418","0","0","0","0","0","0","0","0","0","0"
"(주)스튜디오클론","0.643129201018021","TRUE","589.235973351118","0","205.574426710098","0","14343.7538221323","14116.3172655284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.32476385237071","0","0","0","0","0","0","0","0","0","0"
"(주)스튜디오플로우","0.65006287170447","TRUE","2846.55341610185","0","415.234492686193","0","75624.4821305617","77500.5740577761","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.19505307235246","0","0","0","0","0","0","0","0","0","0"
"(주)쓰리와이코프레이션","0.582154918761962","TRUE","4040.97969765663","0","138.330406628014","0","619.484531749721","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00650570247295413","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.873775956032685","0","0","0","0","0","0","0","0","0","0"
"(주)씨엠엔피","0.627727067890381","TRUE","16647.6231312794","0","11522.8362026274","0","0","17929.7761497904","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.578448035373061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.346358141634586","0","0","0","0","0","0","0","0","0","0"
"(주)아이앤아이소프트","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)안테나","0.585413505439689","TRUE","8532.71827187496","0","245.652492288784","0","43242.3159995283","44123.1726555199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.13652741260021","0","0","0","0","0","0","0","0","0","0"
"(주)어썸이엔티","0.864477699812172","TRUE","0","0","0","0","13061.4612623045","13262.634224598","0","0","0","0","0","0","0.199220584025982","0","0","0","0.219970573417992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.927624073990575","0","0","0","0","0","0","0","0","0","0"
"(주)엔글","0.802706321128951","TRUE","0","0","0","0","442.128192093075","0","0","0","0","0","0.455632596230572","0","0.0550812580460005","0","0","0","0.0851333474801383","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.339833031486768","0","0","0","0","0","0","0","0","0","0"
"(주)영화사월광","0.646705446975707","TRUE","1390.72167283443","0","0","0","1005.52012396076","161.555255588932","0","0","0","0","0","0","0.031934009391377","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.874250177032185","0","0","0","0","0","0","0","0","0","0"
"(주)오션드라이브스튜디오","0.140879858516092","TRUE","0","0","752.17876298317","1821.02344934084","0","4662.84864814046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.109258958626849","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.410700804364556","0","0","0","0","0"
"(주)이담엔터테인먼트","0.705306928658458","TRUE","4725.48485979234","0","80.0168776450566","0","115027.699775852","118349.276949948","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.50326224559181","0","0","0","0","0","0","0","0","0","0"
"(주)이케이게임즈","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)제이와이드컴퍼니","0.891516089346062","TRUE","0","0","0","0","214.455024448858","0","0","0","0","0","0.57306107041537","0","0.0692901651849079","0","0","0","0.118900243519307","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.201589708025286","0","0","0","0","0","0","0","0","0","0"
"(주)카카오벤처스","0.290804822995927","TRUE","44045.8618486381","0","0","0","17343.6679590143","17743.4829460134","0","0","0","0","0","0","0.34562303487286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.144721974923976","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠세븐","0.694659325567847","TRUE","3157.94738735356","0","0","0","351.827797574084","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.13960897051941","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.206142319306366","0.593056046453715","0","0","0","0","0","0","0","0","0"
"(주)케이엠솔루션","0.801365180983249","TRUE","0","0","0","0","98474.8165422004","101928.250099315","0","0","0","0","0","0","0","0","0","0","2.24904242943319","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.435444675302291","0","0","0","0","0","0","0","0","0","0","0","1.11764084936907","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠식스","0.707861627027293","TRUE","5080.83098568565","0","0","0","261.870719767955","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0289806233629316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.152067349078028","0.755761794283854","0","0","0","0","0","0","0","0","0"
"(주)케이엠쓰리","0.741741622822468","TRUE","4364.87680077833","0","0","234.980957809955","141.82981964597","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00694847363803645","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.930412791933567","0","0","0","0","0","0","0","0","0"
"(주)케이엠원","0.630163488414716","TRUE","2550.16735814389","0","46.9392560702161","0","666.73201340664","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.311948410767865","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.614457479827787","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠투","0.948569699355758","TRUE","5322.307438151","0","38.1671889856798","1764.36250476239","564.440365798362","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.954655150513929","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠파이브","0.827770066048239","TRUE","4607.67486171024","0","0","909.746395784796","267.724955952061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.28692200002694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.66093891470847","0","0","0","0","0","0","0","0","0"
"(주)케이엠파킹앤스페이스","0.66217984772386","TRUE","12927.8728514363","0","1086.32803214823","0","43470.414159034","45203.9702015302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.22855195247748","0","0","0","0","0","0","0","0","0","0"
"(주)케이엠포","0.712445232086065","TRUE","3990.69912276576","0","0","0","208.78607576089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0559252691649446","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0637283244533433","0.819302206589566","0","0","0","0","0","0","0","0","0"
"(주)키위바인","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"(주)파괴연구소","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"(주)플레이하드","0.82252985780423","TRUE","0","0","95.2575749301152","0","28698.0631379222","30548.1522635157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.33055228266171","0","0","0","0","0","0","0","0","0","0","0","0.525084201259945","0","0","0","0","0","0","0","0","0","0"
"(주)필연매니지먼트","0.636151026152143","TRUE","3244.66004814218","0","0","0","671.403465227366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.22932060454002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.668677463426064","0.025434380694798","0","0","0","0","0","0","0","0","0"
"(주)하이업엔터테인먼트","0.700449255780175","TRUE","1019.35012162115","0","126.756131563116","0","15295.1703183807","15083.354075343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.38884019865562","0","0","0","0","0","0","0","0","0","0"
"글링크미디어(주)","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"동고택시(주)","0.766936661687607","TRUE","413.351241655812","0","0","501.57335470684","280.882462412581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.327891773087894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.621550493249854","0","0","0","0","0","0","0","0","0"
