"소속회사명","phi","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49"
"(주)글앤그림미디어","1","FALSE","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)넥스트레벨스튜디오","1.13079613179831","TRUE","695.539312038807","0","471.512285012226","3579.01215679919","354.887507957957","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.468058968059425","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.531941031940514","0","0","0","0","0","0","0","0","0","0"
"(주)님블뉴런","1.60085650742759","TRUE","0","4666.25163668621","3396.75379184486","0","0","3533.35251306688","0","0","0","0","0","0","0.110495413665208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.500661686975433","0","0","0","0","0","0","0","0","0","0","0","0","0","0.388842899358969","0","0","0","0","0","0","0","0"
"(주)돌고래유괴단","1.11708332932826","TRUE","1876.94336075243","0","9.83975714850298","2166.97415369959","237.90921970166","0","0","0","0","0","0","0","0.110184097140564","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.889815902859229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)드림위더스","1","FALSE","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)링키지랩","1.05383489599018","TRUE","0","0","0","1295.40488730986","160.188435308607","0","0","0","0","0","0.515916361982822","0","0.0413836006080193","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.155461330522905","0","0","0","0","0","0","0","0","0","0","0","0","0.287238706886242","0","0","0","0","0","0","0","0","0"
"(주)바람픽쳐스","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)보이스루","1.38021793494519","TRUE","522.982843713212","0","511.52338425387","5968.25923622234","12.1452853204169","0","0","0","0","0","0","0","0.14195064629844","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.858049353701338","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)브이에이에스티","1.07876328431618","TRUE","944.299257879875","0","101.901539714027","1625.59542499481","0","0","0","0","0","0","0","0","0.023012655054157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.416364346234269","0","0","0","0","0","0","0","0","0","0","0","0.560622998711668","0","0","0","0","0","0","0","0","0","0"
"(주)비에이치엔터테인먼트","1.13558135508422","TRUE","0","0","145.285670374205","0","633.842835043425","206.525487773366","0.0513768484348303","0","0","0","0","0","0.807481257006663","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.141141894788039","0","0","0","0","0","0","0","0"
"(주)사나이픽처스","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
