"소속회사명","phi","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49"
"(주)글앤그림미디어","1.10807882855962","TRUE","0","0","0","0","49582.0372058802","50970.5886517709","0","0","0","0","0","0","0.451810246601407","0","0","0","0.931100780068966","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.24468810428176","0","0","0","0","0","0","0","0","0","0"
"(주)넥스트레벨스튜디오","1.6582214177128","TRUE","0","0","399.161415493563","1385.48579508717","157.759945510819","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.998821882573469","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.512878690527935","0","0","0","0","0"
"(주)님블뉴런","2.58536229723567","TRUE","175.361517368219","0","3339.20840950652","0","54571.0000741302","61026.3055692916","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.28199268738449","0","0","0","0","0","0","0","0","0","0"
"(주)돌고래유괴단","1.35984440364368","TRUE","718.032401088847","0","0","0","1826.47504332327","719.3024738402","0","0","0","0","0","0","0.156356204929989","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.10824754947246","0","0","0","0","0","0","0","0","0","0"
"(주)드림위더스","1","FALSE","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)링키지랩","1.19854119792968","TRUE","0","0","0","0","191.723515801563","0","0","0","0","0","0.599311678235483","0","0.0322448109201632","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0464551969376787","0.471374569204812","0","0","0","0","0","0","0","0","0"
"(주)바람픽쳐스","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)보이스루","2.46880086574045","TRUE","1598.18829981767","0","446.597806215796","0","8604.23260994231","7589.90525504099","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.07861060328988","0","0","0","0","0","0","0","0","0","0"
"(주)브이에이에스티","1.34680922670248","TRUE","926.675502742536","0","84.0329067642154","0","2245.73179234022","1891.20816605127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.32084095063935","0","0","0","0","0","0","0","0","0","0"
"(주)비에이치엔터테인먼트","1.37228785977853","TRUE","5572.52674058625","0","0","0","80233.6417835938","81635.205310229","0","0","0","0","0","0","0.339501162232564","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.33862487547628","0","0","0","0","0","0","0","0","0","0"
"(주)사나이픽처스","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)쇼노트","1.29271384214832","TRUE","810.341010840544","0","0","0","86651.8240799635","87876.4040757516","0","0","0","0","0","0","0.526204561200107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.31862093987382","0","0","0","0","0","0","0","0","0","0"
"(주)숲엔터테인먼트","1.30835979533327","TRUE","0","0","0","0","39083.4599362071","39416.5306895047","0","0","0","0","0","0","0.288979249929723","0","0","0","0.105932730858513","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.97554514491582","0","0","0","0","0","0","0","0","0","0"
"(주)슈퍼코믹스스튜디오","1.14555859541089","TRUE","1408.97648422846","0","0","1894.48310223076","365.289075573068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.508698017461665","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.563385029742837","0","0","0","0","0","0","0","0","0"
