"소속회사명","theta","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29"
"(주)글라인","0.52987017955824","TRUE","2255.76945094712","0","0","236.426401207391","895.078279639537","936.181810782868","0","0","0","0.142496407161324","0","0","0","0","0.857503592838878","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)모아엘앤비인터내셔널","0.5356161921951","TRUE","0","0","59.2735941615538","601.085780017456","1660.80962943017","1794.84901664761","0","0","0","0","0","0","0","0","0.343982491947127","0.656017508052873","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)비글","1","FALSE","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스튜디오리얼라이브","1","FALSE","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스튜디오원픽","0.73706147241412","TRUE","0","0","24.6430861002482","0","372.583893589894","377.033843080458","0","0","0","0","0","0","0","0","0","0.312738268759423","0","0","0","0","0","0","0","0","0.000185448483325926","0","0","0","0.687076282757251","0","0","0","0","0","0"
"(주)에스엠스튜디오스","0.177063380577179","TRUE","2495.10860193693","0","2208.02587136595","0","2886.86166092918","17879.6386774954","0","0","0","0.992039208252314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00796079174675631","0","0","0","0","0","0","0","0","0","0"
"(주)에스엠유니버스","0.326608611358366","TRUE","183.405573809682","0","0","0","2100.98113256111","2074.49711991866","0","0","0","0","0","0","0","0","0","0.170979961593234","0","0","0","0","0","0","0","0","0","0.0635207787874606","0","0","0.765499259619306","0","0","0","0","0","0"
"(주)에스엠컬처파트너스","0.946564821182189","TRUE","29165.1967748494","0","0","0","65.7252699449345","909.90119174598","0","0","0","0","0","0","0","0","0","0.203538006943338","0","0","0","0","0","0","0","0","0","0.193700373277484","0","0","0.602761619779178","0","0","0","0","0","0"
"(주)에스엠타운플래너","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)엔크로키","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)영화사 집","0.7699302246567","TRUE","0","0","0","0","532.381460138634","511.592539257298","0","0","0","0","0","0","0","0","0","0.0867798321435392","0","0","0","0","0","0","0","0","0","0.110718357399055","0","0","0.335220371764002","0","0.467281438693404","0","0","0","0"
"(주)온마인드","0.629067245119308","TRUE","0","1105.54446854669","0","568.00000000033","2829.00000000357","2779.00000000992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"(주)인타임","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)전국화물마당","0.439831068472523","TRUE","0","0","58.8234652612942","1317.91082140713","2951.92359467616","3123.90118410606","0","0","0","0","0","0","0","0","0.256502555138642","0.743497444861358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)진화","0.704589293267695","TRUE","44.4340352888327","0","0","0","846.056264071924","818.855362142954","0","0","0","0","0","0","0","0","0","0","0","0","0.0394607724374476","0","0","0","0","0","0.000576085444313567","0.959963142117836","0","0","0","0","0","0","0","0","0"
"(주)카카오스페이스","0.0879364220160914","TRUE","4902.40198804383","0","0","7.36298993677851","6303.33786875053","9107.94601773408","0","0","0","0.924710282213163","0","0","0","0","0.0752897177865548","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)카카오인베스트먼트","0.105223575500484","TRUE","158506.815369647","0","1979.65858727871","0","5051.90769271783","38996.0395873005","0","0","0","0.999972922476151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.70775229334185e-05","0","0","0","0","0","0","0","0","0","0"
"(주)컬러버스","0.0993897024256259","TRUE","0","0","15.2998481588479","384.762092133575","10295.9784169384","10635.4979722218","0","0","0","0","0","0","0","0","0.529130151017902","0.470869848982098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)케이큐브홀딩스","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
