"소속회사명","theta","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29"
"(주)글라인","0.517288954622147","TRUE","2202.2085147754","0","0","228.105885074942","657.494195046863","0","0","0","0","0.139112975860252","0","0","0","0","0.837143047933394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)모아엘앤비인터내셔널","0.511484613317436","TRUE","0","0","56.6030897337252","546.026093948507","1192.34813240327","0","0","0","0","0","0","0","0","0","0.328484751665993","0.626461384710556","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)비글","1","FALSE","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스튜디오리얼라이브","1","FALSE","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스튜디오원픽","0.733474234879724","TRUE","0","0","24.1842269338856","0","277.87298325515","0","0","0","0","0","0","0","0","0","0","0.317858590347366","0","0","0","0","0","0","0","0","0.000187052237913362","0","0","0","0.672356932340566","0","0","0","0","0","0"
"(주)에스엠스튜디오스","0.132086775664235","TRUE","0","0","1661.93079124221","0","0","6517.45627066902","0","0","0","0.585578072699597","0","0","0","0","0.11473579880875","0","0","0","0","0","0","0","0","0","0.0068760120313166","0","0","0","0","0","0","0","0","0","0"
"(주)에스엠유니버스","0.31866211426781","TRUE","170.545305363403","0","0","0","1577.48085868091","0","0","0","0","0","0","0","0","0","0","0.164786094059945","0","0","0","0","0","0","0","0","0","0.0884155770828312","0","0","0.694067674423431","0","0","0","0","0","0"
"(주)에스엠컬처파트너스","0.94403769139471","TRUE","29086.1637673432","0","0","0","0","649.461065884754","0","0","0","0","0","0","0","0","0","0.202711719506553","0","0","0","0","0","0","0","0","0","0.196860720595359","0","0","0.593807667651166","0","0","0","0","0","0"
"(주)에스엠타운플래너","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)엔크로키","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
