"소속회사명","phi","slack","sx1","sx2","sx3","sy1","sy2","sy3","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29"
"(주)글라인","1.93315552374485","TRUE","4257.211554776","0","0","440.964151731331","1271.03853498501","0","0","0","0","0.26892701770883","0","0","0","0","1.61832770727704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)모아엘앤비인터내셔널","1.95509302521171","TRUE","0","0","110.664305943837","1067.53180786221","2331.1515172858","0","0","0","0","0","0","0","0","0","0.642218246870674","1.22479028381199","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)비글","1","FALSE","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스튜디오리얼라이브","1","FALSE","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)스튜디오원픽","1.36337440696057","TRUE","0","0","32.9721560537872","0","378.844913755852","0","0","0","0","0","0","0","0","0","0","0.433360267112164","0","0","0","0","0","0","0","0","0.000255022233935739","0","0","0","0.916674233895645","0","0","0","0","0","0"
"(주)에스엠스튜디오스","7.57078060972587","TRUE","0","0","12582.1134092047","0","0","49342.2315588782","0","0","0","4.43328311826887","0","0","0","0","0.868639560876357","0","0","0","0","0","0","0","0","0","0.0520567785589138","0","0","0","0","0","0","0","0","0","0"
"(주)에스엠유니버스","3.13812014427162","TRUE","535.191658271821","0","0","0","4950.32445982945","0","0","0","0","0","0","0","0","0","0","0.517118561265328","0","0","0","0","0","0","0","0","0","0.277458703511051","0","0","2.17806775059593","0","0","0","0","0","0"
"(주)에스엠컬처파트너스","1.05927973969199","TRUE","30810.3839841095","0","0","0","0","687.960948810477","0","0","0","0","0","0","0","0","0","0.214728417471491","0","0","0","0","0","0","0","0","0","0.208530572867778","0","0","0.629008431616616","0","0","0","0","0","0"
"(주)에스엠타운플래너","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)엔크로키","1","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(주)영화사 집","1.30227337782915","TRUE","0","0","0","0","523.835163724184","0","0","0","0","0","0","0","0","0","0","0.108872420208818","0","0","0","0","0","0","0","0","0","0.148966850850067","0","0","0.415260795438364","0","0.612283002372007","0","0","0","0"
"(주)온마인드","1.70983068177554","TRUE","0","1757.43448275903","0","901.722382837711","3620.69449298502","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.58965517241425","0","0","0","0","0","0"
"(주)인타임","1.0793229426611","TRUE","0","0","75.4885384531742","0","38069.6434536626","144658.43186177","0","0","0","0","0","0","0","0","0","4.68694978681403","0","0","0","0","0","0","0","0","0.00134058492675832","0","0","0","0","0","0","0","0","0","0"
