소속회사명,비유동자산,매출액,영업이익,영업비용,기타비용,당기순이익,당기순이익2,cluster,,
(주)그라운드엑스,92506 ,34201 ,142736 ,17890 ,2835 ,1230581 ,1265262 ,1 ,,
(주)글라인,6329 ,114 ,9111 ,1401 ,85 ,19537 ,38492 ,3 ,,
(주)글앤그림미디어,7852 ,50322 ,32939 ,46692 ,78 ,34247 ,34231 ,2 ,,
(주)넥스트레벨스튜디오,1690 ,3205 ,27855 ,4659 ,557 ,29414 ,28937 ,2 ,,
(주)님블뉴런,1754 ,13036 ,20802 ,21543 ,3523 ,19554 ,19308 ,2 ,,
(주)다온크리에이티브,10882 ,26138 ,130439 ,22124 ,420 ,1222572 ,1257522 ,1 ,,
(주)돌고래유괴단,3497 ,13267 ,29743 ,12833 ,63 ,31364 ,31296 ,2 ,,
(주)드림위더스,329 ,7721 ,29949 ,7081 ,11 ,31529 ,31525 ,2 ,,
(주)디케이테크인,21447 ,41755 ,120679 ,47501 ,1268 ,1212575 ,1247861 ,1 ,,
(주)라이온하트스튜디오,51694 ,118326 ,198274 ,46477 ,2412 ,1285978 ,1311628 ,1 ,,
(주)레디엔터테인먼트,11061 ,24962 ,129410 ,21977 ,306 ,1221707 ,1256632 ,1 ,,
(주)링키지랩,908 ,8196 ,29283 ,8222 ,24 ,30911 ,30897 ,2 ,,
(주)메타보라,33090 ,13969 ,122734 ,17660 ,37982 ,1192500 ,1220432 ,1 ,,
(주)모아엘앤비인터내셔널,359 ,621 ,8737 ,2282 ,161 ,19085 ,38043 ,3 ,,
(주)바람픽쳐스,14364 ,42598 ,36357 ,35550 ,6 ,37292 ,37183 ,2 ,,
(주)보이스루,2598 ,8646 ,24311 ,13644 ,563 ,27642 ,25387 ,2 ,,
(주)브이에이에스티,1562 ,10071 ,30710 ,8670 ,158 ,32417 ,31748 ,2 ,,
(주)비글,422 ,727 ,9523 ,1602 ,6 ,20010 ,38983 ,3 ,,
(주)비에이치엔터테인먼트,12055 ,35522 ,30847 ,33984 ,189 ,32089 ,31952 ,2 ,,
(주)사나이픽처스,820 ,25489 ,30676 ,24122 ,6 ,32296 ,32248 ,2 ,,
